test_type,question_id,question,latency_s,num_tokens,tokens_per_sec
shared_prefix,0,用一句话总结这门课程的主题。,2.224880800000392,64,28.76558600352375
shared_prefix,1,这门课程适合什么样的学习者？,2.0095003000460565,64,31.848713831261016
shared_prefix,2,如果要设计一个实践作业，第一步应该是什么？,2.003718200023286,64,31.94061919448365
shared_prefix,3,机器学习有哪几种主要类型？,2.03787870000815,64,31.405205815117476
shared_prefix,4,深度学习和传统机器学习有什么区别？,2.0018597000162117,64,31.970272441910744
different_prefix,0,用一句话总结这门课程的主题。,2.042259900015779,64,31.33783315213971
different_prefix,1,这门课程适合什么样的学习者？,2.0014884999836795,64,31.976201712136675
different_prefix,2,如果要设计一个实践作业，第一步应该是什么？,1.991128200024832,64,32.142581275882605
different_prefix,3,机器学习有哪几种主要类型？,1.9957024999894202,64,32.06890806637727
different_prefix,4,深度学习和传统机器学习有什么区别？,1.9929487999761477,64,32.113218363043735
